Track,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
I Wonder (Departure),The Album,1977,4:32,4,0.372,0.25,0,-11.126,1,0.0281,0.524,0.000048,0.119,0.227,135.396,33
Thank You For The Music - Doris Day Mix,The Album,1977,4:03,4,0.652,0.436,2,-7.464,1,0.0283,0.666,0,0.279,0.562,98.605,28
Gimme! Gimme! Gimme! (A Man After Midnight),Voulez-Vous,1979,4:52,4,0.749,0.491,10,-9.655,1,0.0403,0.02,0.00899,0.159,0.536,119.528,80
Chiquitita,Voulez-Vous,1979,5:26,4,0.5,0.554,9,-8.108,1,0.0354,0.734,0.00000372,0.312,0.372,84.229,72
Voulez-Vous,Voulez-Vous,1979,5:09,4,0.708,0.774,11,-6.931,0,0.0372,0.149,0.00109,0.169,0.903,126.636,71
Angeleyes,Voulez-Vous,1979,4:20,4,0.719,0.922,11,-6.091,1,0.0338,0.523,0.000163,0.0867,0.964,133.113,70
Does Your Mother Know,Voulez-Vous,1979,3:13,4,0.728,0.865,7,-5.68,1,0.0364,0.151,0.0000243,0.0906,0.975,135.571,67
I Have A Dream,Voulez-Vous,1979,4:45,4,0.549,0.374,10,-12.049,1,0.0244,0.6,0,0.178,0.439,104.311,64
If It Wasn't For The Nights,Voulez-Vous,1979,5:09,4,0.7,0.88,9,-4.692,1,0.0389,0.29,0.00186,0.209,0.872,105.65,57
Summer Night City,Voulez-Vous,1979,3:34,4,0.476,0.858,7,-5.66,0,0.0371,0.0138,0,0.177,0.765,130.703,54
As Good As New,Voulez-Vous,1979,3:24,4,0.846,0.783,4,-5.697,1,0.0327,0.199,0.0225,0.0753,0.967,138.843,46
Kisses Of Fire,Voulez-Vous,1979,3:16,4,0.589,0.754,1,-6.963,0,0.0466,0.147,0.000209,0.427,0.622,135.449,46
The King Has Lost His Crown,Voulez-Vous,1979,3:32,4,0.717,0.557,7,-8.236,1,0.0287,0.162,0.000128,0.0644,0.446,114.737,41
Lovers (Live A Little Longer),Voulez-Vous,1979,3:30,4,0.519,0.732,6,-6.371,0,0.0466,0.166,0.0000278,0.314,0.734,173.347,41
Lovelight - Original Version,Voulez-Vous,1979,3:46,4,0.56,0.723,0,-5.938,1,0.0305,0.0913,0.000157,0.399,0.692,125.092,38
Lay All Your Love On Me,Super Trouper,1980,4:34,4,0.678,0.727,2,-7.844,0,0.0258,0.117,0.00396,0.354,0.71,133.481,77
The Winner Takes It All,Super Trouper,1980,4:54,4,0.454,0.788,6,-6.748,1,0.0371,0.574,0.000766,0.0859,0.52,126.15,74
Super Trouper,Super Trouper,1980,4:12,4,0.764,0.626,0,-8.274,1,0.0288,0.457,0.00000635,0.201,0.961,118.34,73
Our Last Summer,Super Trouper,1980,4:19,4,0.504,0.528,2,-7.889,1,0.0244,0.72,0.0000628,0.432,0.414,98.341,60
"Andante, Andante",Super Trouper,1980,4:38,3,0.523,0.361,10,-10.718,1,0.0238,0.684,0.000348,0.0671,0.38,101.887,56
On And On And On,Super Trouper,1980,3:40,4,0.706,0.909,5,-6.003,1,0.0276,0.267,0.0689,0.162,0.945,127.992,51
